<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
RTSI,0,20170324,100001,1123.170000000,28308
RTSI,0,20170324,100002,1123.440000000,67370
RTSI,0,20170324,100003,1123.160000000,318543
RTSI,0,20170324,100004,1123.230000000,135229
RTSI,0,20170324,100005,1123.230000000,45622
RTSI,0,20170324,100006,1123.240000000,57404
RTSI,0,20170324,100007,1123.200000000,23716
RTSI,0,20170324,100008,1123.260000000,7270
RTSI,0,20170324,100009,1123.270000000,10914
RTSI,0,20170324,100010,1123.180000000,9817
RTSI,0,20170324,100011,1122.950000000,44261
RTSI,0,20170324,100012,1122.980000000,78333
RTSI,0,20170324,100013,1122.830000000,90322
RTSI,0,20170324,100014,1122.860000000,50585
RTSI,0,20170324,100015,1122.850000000,15449
RTSI,0,20170324,100016,1122.920000000,3303
RTSI,0,20170324,100017,1122.830000000,47409
RTSI,0,20170324,100018,1122.790000000,20764
RTSI,0,20170324,100019,1122.770000000,85348
RTSI,0,20170324,100020,1122.730000000,2291
RTSI,0,20170324,100021,1122.740000000,5647
RTSI,0,20170324,100022,1122.720000000,50368
RTSI,0,20170324,100023,1122.700000000,22115
RTSI,0,20170324,100024,1122.800000000,53207
RTSI,0,20170324,100025,1122.820000000,15984
RTSI,0,20170324,100026,1122.840000000,7867
RTSI,0,20170324,100027,1122.840000000,5636
RTSI,0,20170324,100028,1122.850000000,17318
RTSI,0,20170324,100029,1122.940000000,46206
RTSI,0,20170324,100030,1122.940000000,1493
RTSI,0,20170324,100031,1123.030000000,27953
RTSI,0,20170324,100032,1123.020000000,27489
RTSI,0,20170324,100033,1123.070000000,32691
RTSI,0,20170324,100034,1123.230000000,17329
RTSI,0,20170324,100035,1123.160000000,3033
RTSI,0,20170324,100036,1123.090000000,53692
RTSI,0,20170324,100037,1123.090000000,29640
RTSI,0,20170324,100038,1123.150000000,21316
RTSI,0,20170324,100039,1123.120000000,2260
RTSI,0,20170324,100040,1123.170000000,36339
RTSI,0,20170324,100041,1123.530000000,43459
RTSI,0,20170324,100042,1123.460000000,18209
RTSI,0,20170324,100043,1123.470000000,2938
RTSI,0,20170324,100044,1123.310000000,26551
RTSI,0,20170324,100045,1123.230000000,24932
RTSI,0,20170324,100046,1123.160000000,23794
RTSI,0,20170324,100047,1123.050000000,25292
RTSI,0,20170324,100048,1123.050000000,6193
RTSI,0,20170324,100049,1123.070000000,1370
RTSI,0,20170324,100050,1123.070000000,7203
RTSI,0,20170324,100051,1123.230000000,61970
RTSI,0,20170324,100052,1123.570000000,33965
RTSI,0,20170324,100053,1123.580000000,89049
RTSI,0,20170324,100054,1123.580000000,97507
RTSI,0,20170324,100055,1123.700000000,24874
RTSI,0,20170324,100056,1123.610000000,53626
RTSI,0,20170324,100057,1123.600000000,3352
RTSI,0,20170324,100058,1123.500000000,16079
RTSI,0,20170324,100059,1123.500000000,16426
RTSI,0,20170324,100100,1123.460000000,57191
RTSI,0,20170324,100101,1123.510000000,64942
RTSI,0,20170324,100102,1123.470000000,19080
RTSI,0,20170324,100103,1123.460000000,9725
RTSI,0,20170324,100104,1123.520000000,22950
RTSI,0,20170324,100105,1123.530000000,4425
RTSI,0,20170324,100106,1123.460000000,23760
RTSI,0,20170324,100107,1123.500000000,67565
RTSI,0,20170324,100108,1123.500000000,14311
RTSI,0,20170324,100109,1123.520000000,18447
RTSI,0,20170324,100110,1123.510000000,10606
RTSI,0,20170324,100111,1123.490000000,5707
RTSI,0,20170324,100112,1123.450000000,88459
RTSI,0,20170324,100113,1123.440000000,22730
RTSI,0,20170324,100114,1123.440000000,3855
RTSI,0,20170324,100115,1123.410000000,35093
RTSI,0,20170324,100116,1123.490000000,77224
RTSI,0,20170324,100117,1123.440000000,24453
RTSI,0,20170324,100118,1123.440000000,10619
RTSI,0,20170324,100119,1123.290000000,6233
RTSI,0,20170324,100120,1123.320000000,13242
RTSI,0,20170324,100121,1123.320000000,3726
RTSI,0,20170324,100122,1123.320000000,2921
RTSI,0,20170324,100123,1123.330000000,12624
RTSI,0,20170324,100124,1123.460000000,31567
RTSI,0,20170324,100125,1123.480000000,65442
RTSI,0,20170324,100126,1123.480000000,73587
RTSI,0,20170324,100127,1123.480000000,1019
RTSI,0,20170324,100128,1123.460000000,4932
RTSI,0,20170324,100129,1123.470000000,34555
RTSI,0,20170324,100130,1123.450000000,7383
RTSI,0,20170324,100131,1123.500000000,13999
RTSI,0,20170324,100132,1123.600000000,48008
RTSI,0,20170324,100133,1123.580000000,2001
RTSI,0,20170324,100134,1123.570000000,58
RTSI,0,20170324,100135,1123.580000000,70691
RTSI,0,20170324,100136,1123.600000000,15198
RTSI,0,20170324,100137,1123.570000000,53837
RTSI,0,20170324,100138,1123.550000000,1132
RTSI,0,20170324,100139,1123.600000000,29413
RTSI,0,20170324,100140,1123.600000000,54826
RTSI,0,20170324,100141,1123.600000000,6614
RTSI,0,20170324,100142,1123.600000000,390
RTSI,0,20170324,100143,1123.580000000,16543
RTSI,0,20170324,100144,1123.520000000,56669
RTSI,0,20170324,100145,1123.600000000,9557
RTSI,0,20170324,100146,1123.580000000,12564
RTSI,0,20170324,100147,1123.590000000,18828
RTSI,0,20170324,100148,1123.540000000,5337
