<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,1,20180914,100100,1088.9400000,1089.6500000,1086.6900000,1089.6500000,6352708
RTSI,1,20180914,100200,1089.5500000,1090.0700000,1088.9800000,1089.7600000,4748876
RTSI,1,20180914,100300,1089.7700000,1089.7700000,1088.5400000,1088.6400000,4254884
RTSI,1,20180914,100400,1088.4900000,1088.9200000,1088.0800000,1088.1100000,2816270
RTSI,1,20180914,100500,1088.1000000,1088.1600000,1087.1200000,1087.5800000,2097924
RTSI,1,20180914,100600,1087.5600000,1087.8900000,1087.3900000,1087.6700000,2946495
RTSI,1,20180914,100700,1087.7500000,1088.8100000,1087.7500000,1088.1900000,2140462
RTSI,1,20180914,100800,1088.2300000,1088.8900000,1088.2300000,1088.8100000,1058170
RTSI,1,20180914,100900,1088.8100000,1089.0100000,1088.5700000,1088.9300000,1395193
RTSI,1,20180914,101000,1088.9300000,1088.9300000,1088.2300000,1088.3800000,1158060
RTSI,1,20180914,101100,1088.3800000,1088.5300000,1087.9700000,1088.1100000,1126260
RTSI,1,20180914,101200,1088.0800000,1088.4600000,1088.0200000,1088.3900000,1330502
RTSI,1,20180914,101300,1088.4300000,1089.0200000,1088.3100000,1089.0200000,4126428
RTSI,1,20180914,101400,1088.9900000,1090.1400000,1088.9900000,1090.0300000,4042224
RTSI,1,20180914,101500,1090.0100000,1090.7600000,1089.9600000,1090.7600000,3159892
RTSI,1,20180914,101600,1090.7900000,1090.7900000,1089.9000000,1090.2500000,2922453
RTSI,1,20180914,101700,1090.2700000,1090.7500000,1090.2700000,1090.7500000,2701646
RTSI,1,20180914,101800,1090.7700000,1091.5100000,1090.6300000,1091.3400000,3569112
RTSI,1,20180914,101900,1091.1900000,1091.3600000,1089.2900000,1089.6800000,3995880
RTSI,1,20180914,102000,1089.8200000,1090.3200000,1089.5200000,1089.7900000,3133646
RTSI,1,20180914,102100,1089.7900000,1090.2100000,1089.6600000,1089.7400000,1283264
RTSI,1,20180914,102200,1089.8600000,1089.8600000,1089.1200000,1089.2100000,2954160
RTSI,1,20180914,102300,1089.2200000,1089.6000000,1089.0400000,1089.6000000,1438538
RTSI,1,20180914,102400,1089.5700000,1089.7600000,1089.2500000,1089.3000000,1102030
RTSI,1,20180914,102500,1089.2200000,1089.3200000,1088.0000000,1088.0700000,1947361
RTSI,1,20180914,102600,1088.2400000,1088.3000000,1087.8200000,1088.2800000,1522656
RTSI,1,20180914,102700,1088.2400000,1089.1500000,1088.1700000,1088.9900000,847315
RTSI,1,20180914,102800,1089.0000000,1090.3500000,1089.0000000,1090.2700000,3040599
RTSI,1,20180914,102900,1090.1900000,1090.3700000,1089.6500000,1090.1500000,2301633
RTSI,1,20180914,103000,1090.1900000,1090.1900000,1089.8200000,1090.0000000,582637
RTSI,1,20180914,103100,1090.0700000,1090.0900000,1089.4600000,1089.5600000,1619735
RTSI,1,20180914,103200,1089.4800000,1089.6500000,1089.1100000,1089.6500000,1427701
RTSI,1,20180914,103300,1089.6300000,1090.3300000,1089.5400000,1090.2000000,2672014
RTSI,1,20180914,103400,1090.2000000,1090.2100000,1089.8000000,1090.0600000,1151157
RTSI,1,20180914,103500,1090.0600000,1090.7300000,1090.0200000,1090.7300000,1174957
RTSI,1,20180914,103600,1090.7500000,1091.3600000,1090.6200000,1091.2900000,1551680
RTSI,1,20180914,103700,1091.2900000,1091.3600000,1090.7500000,1090.7800000,1161722
RTSI,1,20180914,103800,1090.8600000,1090.9200000,1090.4400000,1090.9200000,1097174
RTSI,1,20180914,103900,1090.9100000,1091.6000000,1090.9100000,1091.5300000,3343831
RTSI,1,20180914,104000,1091.5500000,1092.8300000,1091.4400000,1092.6200000,2814923
RTSI,1,20180914,104100,1092.7200000,1093.2800000,1092.6800000,1093.1500000,1656233
RTSI,1,20180914,104200,1093.1400000,1093.1500000,1092.5900000,1092.9500000,1556136
RTSI,1,20180914,104300,1092.8500000,1092.9700000,1092.3700000,1092.4300000,1263925
RTSI,1,20180914,104400,1092.4200000,1092.4700000,1092.2300000,1092.4600000,1044092
RTSI,1,20180914,104500,1092.4600000,1092.4800000,1091.8900000,1091.8900000,414511
RTSI,1,20180914,104600,1091.9200000,1091.9600000,1091.0400000,1091.4300000,2083396
RTSI,1,20180914,104700,1091.4300000,1091.7300000,1091.2800000,1091.6400000,935136
RTSI,1,20180914,104800,1091.6100000,1091.9400000,1091.6100000,1091.6800000,533834
RTSI,1,20180914,104900,1091.6900000,1091.6900000,1090.7300000,1090.8900000,1687888
RTSI,1,20180914,105000,1090.8300000,1091.0000000,1090.6800000,1090.7900000,1303806
RTSI,1,20180914,105100,1090.7900000,1091.2500000,1090.7900000,1091.2200000,693931
RTSI,1,20180914,105200,1091.2500000,1091.3100000,1089.7900000,1089.9200000,1408745
RTSI,1,20180914,105300,1089.9100000,1090.2100000,1089.8900000,1090.1300000,635631
RTSI,1,20180914,105400,1090.1300000,1090.2900000,1090.0700000,1090.2500000,508959
RTSI,1,20180914,105500,1090.2600000,1090.2600000,1089.3600000,1089.5300000,1882437
RTSI,1,20180914,105600,1089.4900000,1089.8700000,1089.4000000,1089.7900000,1110243
RTSI,1,20180914,105700,1089.7700000,1090.6800000,1089.7700000,1090.6800000,1277119
RTSI,1,20180914,105800,1090.6900000,1091.0400000,1090.6600000,1090.9400000,824200
RTSI,1,20180914,105900,1090.9500000,1090.9700000,1090.2500000,1090.3300000,887438
RTSI,1,20180914,110000,1090.3300000,1090.5000000,1089.9700000,1090.0800000,629825
RTSI,1,20180914,110100,1090.0800000,1090.1200000,1089.2400000,1089.3500000,2216558
RTSI,1,20180914,110200,1089.2700000,1089.3900000,1088.6000000,1088.6800000,2318653
RTSI,1,20180914,110300,1088.6900000,1088.7300000,1088.4800000,1088.7200000,1592884
RTSI,1,20180914,110400,1088.6600000,1088.9300000,1088.5400000,1088.6900000,1270783
RTSI,1,20180914,110500,1088.6400000,1088.7700000,1088.5200000,1088.6100000,470677
RTSI,1,20180914,110600,1088.6000000,1088.6000000,1087.9900000,1088.2300000,1270316
RTSI,1,20180914,110700,1088.3000000,1088.4000000,1087.6600000,1087.6800000,761714
RTSI,1,20180914,110800,1087.7700000,1088.1600000,1087.6200000,1087.9400000,1290628
RTSI,1,20180914,110900,1087.8800000,1088.2400000,1087.8800000,1088.2400000,470646
RTSI,1,20180914,111000,1088.2700000,1088.3000000,1087.9700000,1088.0300000,1340151
RTSI,1,20180914,111100,1088.1100000,1088.1100000,1087.0600000,1087.0900000,2852205
RTSI,1,20180914,111200,1087.0700000,1087.0700000,1086.1200000,1086.2000000,3291583
RTSI,1,20180914,111300,1086.2200000,1086.4200000,1085.7900000,1085.7900000,2276339
RTSI,1,20180914,111400,1085.8100000,1085.8600000,1085.2800000,1085.4800000,1038113
RTSI,1,20180914,111500,1085.4700000,1085.7100000,1085.4700000,1085.6800000,946783
RTSI,1,20180914,111600,1085.6700000,1086.1100000,1085.5400000,1086.0200000,1579578
RTSI,1,20180914,111700,1086.0400000,1086.1900000,1085.9600000,1086.0800000,841843
RTSI,1,20180914,111800,1086.0600000,1086.2800000,1085.6800000,1085.7000000,1005652
RTSI,1,20180914,111900,1085.6900000,1085.8900000,1085.5800000,1085.7600000,545958
RTSI,1,20180914,112000,1085.7900000,1086.0500000,1085.7800000,1085.9100000,743670
RTSI,1,20180914,112100,1085.9300000,1086.4800000,1085.7900000,1086.4500000,989753
